com.example.kursova.macroobjects.Blackjack@74bb9d83
com.example.kursova.macroobjects.Poker@23d35afb
com.example.kursova.macroobjects.Roulette@6641d24f
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 390.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 395.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 400.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 405.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 410.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 415.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 420.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 425.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 430.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 430.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 430.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 435.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 440.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 445.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 450.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 455.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 460.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 465.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 470.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 475.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 480.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 485.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 490.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 495.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 500.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 505.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 510.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 515.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 520.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 525.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 530.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 535.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 540.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 545.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 550.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 555.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 560.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 565.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 570.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 575.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 580.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 585.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 590.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 595.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 600.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 605.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 610.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 615.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 620.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 625.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 630.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 635.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 640.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 645.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 650.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 655.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 660.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 665.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 670.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 675.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 680.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 685.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 690.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 695.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 700.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 705.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 710.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 715.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 720.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 725.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 730.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 735.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 740.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 745.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 750.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 755.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 760.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 765.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 770.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 775.0; Y: 290.0 }
Poor { name: name; money: 25600; Win rating: 1; lose rating: 1; X: 780.0; Y: 290.0 }
